chain	iteration	posterior	likelihood	aRP1	aRP2	aRP3	aJZ1	aJZ2	aJZ3	aTZ1	aTZ2	aTZ3	startP1	startP2	startP3	startZ1	startZ2	startZ3	fR	K	sdZ	sdP	fJ	d	W	q
0	17100	-142.106661	-142.106661	5.369708	3.347202	32.950251	34.270697	69.586376	66.572443	0.024582	0.459752	3.230921	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102513	1.130762	1.831093	0.900000	0.060368	2.084813	1.255601
0	17200	-141.407302	-141.407302	11.568488	5.570891	36.355735	46.952595	53.321736	75.863749	0.352313	0.369841	3.060877	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102966	1.056955	1.893333	0.900000	0.019308	1.208045	1.300099
0	17300	-140.798650	-140.798650	14.900868	3.653095	48.988889	83.324939	45.716473	98.548938	1.112922	0.474746	3.201629	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.105174	1.045971	1.631092	0.900000	0.088910	1.480369	1.218965
0	17400	-139.818666	-139.818666	14.466050	0.044863	47.650012	75.170640	67.744223	112.682588	0.800461	1.016265	2.910119	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.106740	1.125235	1.749127	0.900000	0.047970	1.529343	1.211061
0	17500	-139.547079	-139.547079	12.715395	0.835363	37.171395	75.170640	68.757159	132.640115	0.695115	0.835888	3.337109	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104082	0.965752	1.366427	0.900000	0.009676	1.745107	1.188037
0	17600	-139.479943	-139.479943	12.710208	1.215053	34.816016	65.772916	68.651364	82.014933	0.724968	0.673489	3.313891	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.106567	1.176767	1.578281	0.900000	0.088198	1.614118	1.209267
0	17700	-139.800302	-139.800302	10.898483	1.638166	45.921272	115.284881	62.050767	160.575786	1.196530	0.367238	3.547886	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102783	1.154836	1.308739	0.900000	0.052568	1.604734	1.227941
0	17800	-139.764421	-139.764421	11.347495	0.324150	48.169368	111.593416	51.086331	156.578287	1.373975	0.188246	3.529762	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104234	1.098875	1.383297	0.900000	0.059008	1.250407	1.300125
0	17900	-143.595229	-143.595229	12.686787	4.750016	49.203085	148.125769	58.257350	162.740954	1.752109	0.027006	4.359873	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102242	1.359168	1.451528	0.900000	0.053713	1.236236	1.351380
0	18000	-141.905427	-141.905427	15.521791	2.973553	45.779000	186.536492	68.031898	159.533280	1.892299	0.223432	3.165000	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101382	1.109421	1.266691	0.900000	0.029128	1.362975	1.366489
0	18100	-141.738455	-141.738455	13.070545	1.988444	35.735633	175.209217	67.909412	135.634629	1.901314	0.307219	3.475897	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.108464	1.255165	1.521226	0.900000	0.053464	1.404600	1.351814
0	18200	-144.656048	-144.656048	11.957573	2.974445	46.939439	157.006536	77.065982	35.583660	1.920000	0.560744	2.658321	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104825	1.476322	1.300396	0.900000	0.016977	1.248094	1.415193
0	18300	-142.980926	-142.980926	18.937310	1.941062	43.835118	182.201769	59.147882	128.698218	1.594871	0.393177	2.233109	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104577	0.971359	1.401621	0.900000	0.079815	1.233935	1.407199
0	18400	-143.888566	-143.888566	22.272562	1.385575	45.730474	184.432814	19.728313	11.688565	1.843796	0.174867	3.084876	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101796	1.108358	1.259666	0.900000	0.043440	0.954406	1.409477
0	18500	-140.829015	-140.829015	27.248330	0.232381	42.917791	142.385859	29.467121	9.148817	1.358471	0.142904	2.767789	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101529	1.229870	1.540932	0.900000	0.013421	1.010014	1.404641
0	18600	-141.911697	-141.911697	27.772267	3.852234	48.884975	181.169835	67.021717	154.991278	1.911939	0.499704	2.615243	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103187	1.236786	1.461419	0.900000	0.046620	1.149672	1.382848
0	18700	-143.321602	-143.321602	24.247841	3.526675	41.958125	153.551209	83.316891	106.234611	2.492095	0.481458	3.590133	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102810	1.122439	1.561606	0.900000	0.006187	1.223449	1.298510
0	18800	-147.110321	-147.110321	24.548733	7.689442	35.517128	185.665309	92.084326	49.338473	1.437277	0.690135	2.513874	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.113427	1.316658	1.930353	0.900000	0.039915	1.847603	1.271430
0	18900	-142.069088	-142.069088	17.196291	6.367354	54.530526	184.374939	77.032931	10.593715	0.973720	0.580052	2.317623	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.107211	1.307651	1.392008	0.900000	0.026064	2.721696	1.257695
